circuit,model,p,regime,method,ideal,mu,sd,ci_lo,ci_hi,err,err_noisy,impr
bell,depolar,0.024,mid,richardson,1.0,1.026953124999999,0.08643675998417892,0.9838509114583325,1.0684895833333323,0.026953124999999023,0.02473958333333337,-0.0894736842104852
bell,depolar,0.024,mid,linear,1.0,1.007508680555556,0.012218941913020353,1.0012141927083338,1.013585069444445,0.00750868055555598,0.02473958333333337,0.6964912280701587
bell,depolar,0.03,mid,richardson,1.0,1.002213541666666,0.09543267128328686,0.9539029947916661,1.051315104166666,0.0022135416666659857,0.027083333333333348,0.9182692307692559
bell,depolar,0.03,mid,linear,1.0,1.0002604166666669,0.017400887593268518,0.9911892361111116,1.0087282986111117,0.0002604166666668739,0.027083333333333348,0.9903846153846078
bell,depolar,0.036,mid,richardson,1.0,1.024218749999999,0.11553038428920119,0.9650846354166657,1.0824218749999992,0.024218749999999067,0.03997395833333328,0.3941368078176121
bell,depolar,0.036,mid,linear,1.0,0.9918402777777781,0.02346986898028568,0.9805121527777783,1.0043836805555557,0.008159722222221943,0.03997395833333328,0.7958740499457179
bell,depolar,0.042,mid,richardson,1.0,0.9843749999999996,0.1347118325613284,0.9154915364583325,1.0556184895833334,0.015625000000000444,0.042838541666666674,0.6352583586626037
bell,depolar,0.042,mid,linear,1.0,0.993793402777778,0.02861510610003272,0.9790353732638892,1.0079437934027784,0.0062065972222220545,0.042838541666666674,0.8551165146909867
bell,depolar,0.048,mid,richardson,1.0,0.9988281249999993,0.12330763540518838,0.9377473958333326,1.0605533854166662,0.0011718750000007105,0.04752604166666663,0.9753424657534097
bell,depolar,0.048,mid,linear,1.0,0.999262152777778,0.02391355202469691,0.9878472222222227,1.0116319444444448,0.0007378472222220323,0.04752604166666663,0.9844748858447528
bell,depolar,0.06,high,richardson,1.0,1.0919270833333328,0.1350370279402307,1.021604817708333,1.1522167968749997,0.09192708333333277,0.0658854166666667,-0.39525691699603827
bell,depolar,0.06,high,linear,1.0,0.9845920138888893,0.026927917235815925,0.9710915798611113,0.9986566840277781,0.015407986111110716,0.0658854166666667,0.7661396574440114
bell,depolar,0.075,high,richardson,1.0,1.0795572916666663,0.21751238752339783,0.9665234374999991,1.1874283854166663,0.07955729166666625,0.0795572916666667,5.582005125447594e-15
bell,depolar,0.075,high,linear,1.0,0.9823350694444449,0.026659200117532374,0.9680121527777784,0.9959255642361114,0.01766493055555507,0.0795572916666667,0.777959629023465
bell,depolar,0.09,high,richardson,1.0,1.013802083333333,0.21987187517519366,0.8965983072916659,1.1240983072916666,0.013802083333332993,0.0884114583333333,0.8438880706921982
bell,depolar,0.09,high,linear,1.0,0.9795138888888894,0.02802744246888133,0.9655381944444449,0.9950531684027781,0.02048611111111065,0.0884114583333333,0.7682866961217528
bell,depolar,0.105,high,richardson,1.0,1.033854166666666,0.26723115302918193,0.8923144531249988,1.1670703124999997,0.033854166666666075,0.10377604166666665,0.6737766624843219
bell,depolar,0.105,high,linear,1.0,0.9884114583333337,0.033216483560012736,0.9713530815972222,1.004471571180556,0.011588541666666341,0.10377604166666665,0.888331242158096
bell,depolar,0.12,high,richardson,1.0,1.0334635416666662,0.28010006766478385,0.8904850260416657,1.166162109375,0.03346354166666621,0.12239583333333337,0.7265957446808549
bell,depolar,0.12,high,linear,1.0,0.9702690972222224,0.04205256591813384,0.9489127604166668,0.9909288194444446,0.029730902777777568,0.12239583333333337,0.7570921985815621
bell,depolar,0.135,high,richardson,1.0,0.9841145833333329,0.32354415470107517,0.8128873697916658,1.1402701822916665,0.015885416666667096,0.134765625,0.8821256038647312
