circuit,model,p,regime,t_stat,p_val,cohen_d,sig
qft,depolar,0.007667,low,2.0091,0.0606,0.7594,False
qft,depolar,0.009,low,1.2787,0.2179,0.4833,False
qft,depolar,0.012,mid,2.0759,0.0531,0.7846,False
qft,depolar,0.018,mid,0.929,0.3674,0.3511,False
qft,depolar,0.024,mid,2.281,0.036,0.8621,True
qft,depolar,0.03,mid,5.8426,0.0,2.2083,True
qft,depolar,0.036,mid,4.2116,0.0007,1.5918,True
qft,depolar,0.042,mid,3.8609,0.0016,1.4593,True
qft,depolar,0.048,mid,6.0945,0.0,2.3035,True
qft,depolar,0.06,high,7.3115,0.0,2.7635,True
qft,depolar,0.075,high,12.0082,0.0,4.5387,True
qft,depolar,0.09,high,6.66,0.0,2.5173,True
qft,depolar,0.105,high,3.9224,0.0013,1.4825,True
qft,depolar,0.12,high,2.9693,0.009,1.1223,True
qft,depolar,0.135,high,5.3779,0.0001,2.0327,True
qft,depolar,0.15,high,2.2146,0.0421,0.837,True
qft,combined,0.001,low,-0.5071,0.6187,-0.1917,False
qft,combined,0.002333,low,0.0619,0.9514,0.0234,False
qft,combined,0.003667,low,-2.44,0.0253,-0.9222,True
qft,combined,0.005,low,0.7272,0.4757,0.2749,False
qft,combined,0.006333,low,-0.3729,0.714,-0.1409,False
qft,combined,0.007667,low,0.8704,0.3971,0.329,False
qft,combined,0.009,low,2.2216,0.0415,0.8397,True
qft,combined,0.012,mid,1.9057,0.0742,0.7203,False
qft,combined,0.018,mid,2.4795,0.0244,0.9372,True
qft,combined,0.024,mid,2.7166,0.0152,1.0268,True
qft,combined,0.03,mid,2.05,0.0566,0.7748,False
qft,combined,0.036,mid,3.9513,0.0011,1.4935,True
qft,combined,0.042,mid,3.0589,0.0071,1.1561,True
qft,combined,0.048,mid,4.8845,0.0002,1.8462,True
qft,combined,0.06,high,6.1916,0.0,2.3402,True
qft,combined,0.075,high,6.2867,0.0,2.3762,True
qft,combined,0.09,high,9.6712,0.0,3.6554,True
qft,combined,0.105,high,5.8809,0.0,2.2228,True
qft,combined,0.12,high,3.3226,0.0034,1.2558,True
qft,combined,0.135,high,2.9639,0.0092,1.1203,True
qft,combined,0.15,high,2.387,0.0306,0.9022,True
depth_d5,depolar,0.001,low,0.8069,0.427,0.305,False
depth_d5,depolar,0.002333,low,-1.0442,0.3103,-0.3947,False
depth_d5,depolar,0.003667,low,0.151,0.8819,0.0571,False
depth_d5,depolar,0.005,low,-0.4248,0.6762,-0.1605,False
depth_d5,depolar,0.006333,low,-0.7783,0.4462,-0.2942,False
depth_d5,depolar,0.007667,low,-0.1849,0.8557,-0.0699,False
depth_d5,depolar,0.009,low,-1.8177,0.0889,-0.687,False
depth_d5,depolar,0.012,mid,-1.0915,0.2905,-0.4125,False
depth_d5,depolar,0.018,mid,-2.7397,0.0137,-1.0355,True
depth_d5,depolar,0.024,mid,-2.9441,0.008,-1.1128,True
depth_d5,depolar,0.03,mid,-3.2392,0.0046,-1.2243,True
depth_d5,depolar,0.036,mid,-2.2777,0.0364,-0.8609,True
depth_d5,depolar,0.042,mid,-3.3612,0.0036,-1.2704,True
depth_d5,depolar,0.048,mid,-2.4948,0.0229,-0.9429,True
depth_d5,depolar,0.06,high,-1.5912,0.1313,-0.6014,False
depth_d5,depolar,0.075,high,-1.9572,0.0648,-0.7398,False
depth_d5,depolar,0.09,high,-5.4778,0.0,-2.0704,True
depth_d5,depolar,0.105,high,-2.1896,0.0419,-0.8276,True
depth_d5,depolar,0.12,high,-1.5414,0.1396,-0.5826,False
depth_d5,depolar,0.135,high,-3.8064,0.0014,-1.4387,True
depth_d5,depolar,0.15,high,-0.2885,0.7765,-0.109,False
depth_d5,combined,0.001,low,0.9521,0.3557,0.3599,False
